date,state,positive,Hospitalizados,UCI,Fallecidos,Recuperados
20200324,VC,2616,1842,255,143,44
20200325,VC,3200,2097,289,167,57
20200326,VC,3532,2357,325,198,73
20200327,VC,4034,2606,348,234,92
20200328,VC,4784,2773,375,267,161
20200329,VC,5110,2914,393,310,185
20200330,VC,5508,3111,416,339,200
20200331,VC,5922,3253,434,395,240
20200401,VC,6308,3389,449,443,432
20200402,VC,6624,3492,460,511,592
20200403,VC,6901,3560,470,571,695
20200404,VC,7184,3620,478,613,812
20200405,VC,7334,3668,487,637,930
20200406,VC,7443,3698,492,672,1103
20200407,VC,7655,3713,496,724,1344
20200408,VC,7964,3815,541,767,1772
20200409,VC,8331,3987,561,796,2085
20200410,VC,8578,4132,565,818,2289
20200411,VC,8841,4149,567,838,2624
20200412,VC,9060,4269,576,876,2803
20200413,VC,9213,4397,581,907,3069
20200414,VC,9424,4465,588,945,3360
20200415,VC,9615,4524,625,972,3702
20200416,VC,9719,4605,632,999,4024
20200417,VC,9795,4708,636,1042,4306
